Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
90,Saturday Jul 23 (1),boxscore,BOS,@,NYY,L-wo,3,4,15,22-68,8,41.0,Ruffing,Moore,,3:18,D,,.00,-,1932-07-22 (Rain)
91,Saturday Jul 23 (2),boxscore,BOS,@,NYY,L,4,5,,22-69,8,41.0,Pipgras,Durham,Allen,2:10,D,18000,.00,--,
92,Sunday Jul 24,boxscore,BOS,@,WSH,L,6,12,,22-70,8,42.0,Thomas,Boerner,,2:02,D,5000,.00,---,
93,Tuesday Jul 26,boxscore,BOS,@,CHW,W,6,1,,23-70,8,41.0,Welch,Frazier,,1:50,D,,.00,+,
94,Wednesday Jul 27,boxscore,BOS,@,CHW,W,15,5,,24-70,8,39.5,Kline,Daglia,,2:06,D,2000,.00,++,
95,Thursday Jul 28,boxscore,BOS,@,CHW,W,2,1,,25-70,8,39.5,Durham,Lyons,,1:37,D,,.00,+++,
96,Friday Jul 29,boxscore,BOS,@,CHW,L,3,4,,25-71,8,39.5,Jones,Andrews,,1:28,D,13000,.00,-,
97,Saturday Jul 30,boxscore,BOS,@,SLB,W,3,2,12,26-71,8,39.5,Moore,Gray,,2:32,D,1000,.00,+,
98,Sunday Jul 31 (1),boxscore,BOS,@,SLB,L,2,13,,26-72,8,41.0,Hadley,Welch,,1:50,D,,.00,-,
99,Sunday Jul 31 (2),boxscore,BOS,@,SLB,L,3,7,,26-73,8,41.0,Cooney,Boerner,,1:38,D,2000,.00,--,1932-08-01 (Schedule change)
100,Tuesday Aug 2,boxscore,BOS,@,SLB,L,4,6,,26-74,8,41.5,Blaeholder,Weiland,,1:57,D,1000,.00,---,
101,Thursday Aug 4 (1),boxscore,BOS,@,CLE,L,2,8,,26-75,8,42.5,Hildebrand,Kline,,1:30,D,,.00,----,1932-08-03 (Rain)
102,Thursday Aug 4 (2),boxscore,BOS,@,CLE,L-wo,7,8,13,26-76,8,42.5,Connally,Weiland,,2:43,D,15000,.00,-----,
103,Friday Aug 5,boxscore,BOS,@,CLE,L,2,7,,26-77,8,43.0,Harder,Welch,,2:00,D,,.00,------,
104,Saturday Aug 6,boxscore,BOS,@,CLE,L,0,3,,26-78,8,43.5,Ferrell,Rhodes,,1:31,D,2000,.00,-------,
105,Sunday Aug 7,boxscore,BOS,@,DET,L,1,3,,26-79,8,45.0,Sorrell,Durham,,2:11,D,6000,.00,--------,
106,Tuesday Aug 9 (1),boxscore,BOS,@,DET,L,2,5,,26-80,8,46.5,Hogsett,Kline,,1:53,D,,.00,---------,1932-08-08 (Wet grounds)
107,Tuesday Aug 9 (2),boxscore,BOS,@,DET,L,7,9,,26-81,8,46.5,Marrow,Welch,Uhle,2:12,D,7100,.00,----------,
108,Wednesday Aug 10,boxscore,BOS,@,DET,L,2,6,,26-82,8,47.5,Bridges,Rhodes,,2:09,D,3000,.00,-----------,
109,Friday Aug 12,boxscore,BOS,,PHA,W,2,1,,27-82,8,47.0,Andrews,Earnshaw,,1:34,D,3500,.00,+,
110,Saturday Aug 13 (1),boxscore,BOS,,PHA,L,2,13,,27-83,8,48.5,Grove,Boerner,,2:08,D,,.00,-,1932-07-04 (Rain)
111,Saturday Aug 13 (2),boxscore,BOS,,PHA,L,2,8,,27-84,8,48.5,Freitas,Kline,,1:59,D,8000,.00,--,
112,Sunday Aug 14 (1),boxscore,BOS,,PHA,L,1,6,,27-85,8,49.0,Walberg,Rhodes,,1:36,D,,.00,---,
113,Sunday Aug 14 (2),boxscore,BOS,,PHA,W,2,0,,28-85,8,49.0,Welch,Mahaffey,,1:32,D,7500,.00,+,1932-07-04 (Rain)
114,Tuesday Aug 16,boxscore,BOS,,SLB,L,2,3,,28-86,8,50.5,Stewart,Durham,,1:40,D,1000,.00,-,
115,Wednesday Aug 17,boxscore,BOS,,SLB,W,7,3,,29-86,8,50.5,Andrews,Fischer,,1:47,D,1000,.00,+,
116,Thursday Aug 18,boxscore,BOS,,SLB,W-wo,7,6,15,30-86,8,50.0,Welch,Hadley,,3:23,D,,.00,++,
117,Saturday Aug 20,boxscore,BOS,,DET,L,1,4,10,30-87,8,51.0,Whitehill,Rhodes,,2:00,D,2000,.00,-,
118,Sunday Aug 21 (1),boxscore,BOS,,DET,W,3,1,,31-87,8,51.5,Weiland,Wyatt,,1:50,D,,.00,+,1932-05-11 (Cold)
119,Sunday Aug 21 (2),boxscore,BOS,,DET,L,2,4,,31-88,8,51.5,Sorrell,Durham,,1:50,D,7500,.00,-,
120,Monday Aug 22,boxscore,BOS,,DET,W,6,5,,32-88,8,50.5,Kline,Hogsett,,1:54,D,2000,.00,+,
121,Tuesday Aug 23,boxscore,BOS,,DET,L,4,5,,32-89,8,51.5,Bridges,Welch,Uhle,2:25,D,2000,.00,-,
122,Wednesday Aug 24,boxscore,BOS,,CHW,L,3,7,,32-90,8,52.5,Lyons,Kline,,1:42,D,1000,.00,--,
123,Thursday Aug 25,boxscore,BOS,,CHW,W,5,4,,33-90,8,52.5,Rhodes,Frazier,,1:59,D,2000,.00,+,
124,Friday Aug 26,boxscore,BOS,,CHW,W,11,8,,34-90,8,52.5,Kline,Gaston,,2:30,D,5000,.00,++,
125,Saturday Aug 27,boxscore,BOS,,CHW,W,13,10,,35-90,8,52.5,Kline,Faber,,2:32,D,3500,.00,+++,
126,Sunday Aug 28 (1),boxscore,BOS,,CLE,L,1,10,,35-91,8,52.5,Hudlin,Weiland,,1:55,D,,.00,-,
127,Sunday Aug 28 (2),boxscore,BOS,,CLE,W-wo,4,3,11,36-91,8,52.5,Durham,Connally,,2:20,D,10000,.00,+,1932-08-31 (Eclipse)
128,Monday Aug 29,boxscore,BOS,,CLE,L,3,6,,36-92,8,54.0,Hildebrand,Rhodes,,1:48,D,1000,.00,-,
129,Tuesday Aug 30,boxscore,BOS,,CLE,W,6,2,,37-92,8,54.0,Welch,Ferrell,,1:52,D,1200,.00,+,
130,Friday Sep 2 (1),boxscore,BOS,@,PHA,L,3,7,,37-93,8,54.0,Mahaffey,Weiland,,1:42,D,,.00,-,
131,Friday Sep 2 (2),boxscore,BOS,@,PHA,L,0,15,,37-94,8,54.0,Krausse,Kline,,1:55,D,8000,.00,--,
132,Saturday Sep 3,boxscore,BOS,@,PHA,L-wo,3,4,,37-95,8,55.0,Grove,Rhodes,,1:34,D,2000,.00,---,
