Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
102,Sunday Jul 29 (2),boxscore,NYM,@,STL,L,1,5,,26-76,10,43.0,Washburn,Craig,Duliba,2:28,D,15443,.00,--,
103,Wednesday Aug 1,boxscore,NYM,,PHI,L,9,11,,26-77,10,43.0,Bennett,Jackson,Baldschun,3:32,N,8681,.00,---,
104,Thursday Aug 2,boxscore,NYM,,PHI,L,4,9,,26-78,10,44.0,Mahaffey,Anderson,,2:58,D,6042,.00,----,
105,Friday Aug 3,boxscore,NYM,,CIN,L,6,8,,26-79,10,45.0,Jay,Hook,Henry,3:17,N,8811,.00,-----,
106,Saturday Aug 4 (1),boxscore,NYM,,CIN,W,9,1,,27-79,10,44.5,Craig,Klippstein,,2:46,D,,.00,+,
107,Saturday Aug 4 (2),boxscore,NYM,,CIN,W &V,3,2,14,28-79,10,44.5,Miller,Drabowsky,,4:20,D,12562,.00,++,
108,Sunday Aug 5 (1),boxscore,NYM,,CIN,W,5,2,,29-79,10,44.5,Jackson,O'Toole,,2:21,D,,.00,+++,1962-05-02 (Rain)
109,Sunday Aug 5 (2),boxscore,NYM,,CIN,L,3,6,,29-80,10,44.5,Maloney,Moorhead,Brosnan,3:08,D,15402,.00,-,
110,Monday Aug 6,boxscore,NYM,@,LAD,L,1,2,,29-81,10,45.5,Podres,Hook,Perranoski,2:18,N,20858,.00,--,
111,Tuesday Aug 7,boxscore,NYM,@,LAD,L,5,7,,29-82,10,46.5,Drysdale,Anderson,,2:58,N,26970,.00,---,
112,Wednesday Aug 8,boxscore,NYM,@,SFG,W,5,2,,30-82,10,46.5,Craig,Bolin,,2:44,N,11411,.00,+,
113,Thursday Aug 9,boxscore,NYM,@,SFG,L,1,7,,30-83,10,47.5,Sanford,Miller,,2:37,D,9988,.00,-,
114,Friday Aug 10,boxscore,NYM,@,CIN,L,4,8,,30-84,10,47.5,Maloney,Jackson,,2:38,N,14879,.00,--,
115,Saturday Aug 11,boxscore,NYM,@,CIN,L-wo,1,2,,30-85,10,47.5,Purkey,Hook,,2:32,N,14903,.00,---,
116,Sunday Aug 12,boxscore,NYM,@,CIN,L,4,8,,30-86,10,47.5,Jay,Craig,,2:23,D,11319,.00,----,
117,Tuesday Aug 14,boxscore,NYM,,PHI,L,1,3,15,30-87,10,47.5,Baldschun,Jackson,,4:35,D,5351,.00,-----,
118,Wednesday Aug 15 (1),boxscore,NYM,,PHI,L,3,9,,30-88,10,48.0,Bennett,Miller,McLish,3:07,D,,.00,------,
119,Wednesday Aug 15 (2),boxscore,NYM,,PHI,L,7,8,13,30-89,10,48.0,Short,Moorhead,,4:41,N,9573,.00,-------,
120,Saturday Aug 18 (1),boxscore,NYM,,STL,L,4,7,,30-90,10,49.5,Broglio,Craig,,2:51,D,9715,.00,--------,1962-08-17 (Rain)
121,Saturday Aug 18 (2),boxscore,NYM,,STL,L,0,10,,30-91,10,49.5,Gibson,MacKenzie,,2:53,N,14309,.00,---------,
122,Sunday Aug 19,boxscore,NYM,,STL,L,5,10,,30-92,10,50.5,McDaniel,Jackson,Shantz,3:12,D,10182,.00,----------,
123,Monday Aug 20 (1),boxscore,NYM,,PIT,L,0,2,,30-93,10,51.0,Friend,Hook,,2:15,D,,.00,-----------,1962-07-18 (Rain)
